Area,Feature_or_Condition,Status,Primary_Evidence,Next_Action,Priority,Last_Updated
Broker,Full live Dhan method smoke test,OPS_VALIDATION_PENDING,"CONTEXT.md; OPEN_QUESTIONS.md",Execute live checklist using safe test positions,High,2026-05-02
Simulator,End-to-end simulator sweep across bots and commands,OPS_VALIDATION_PENDING,"CONTEXT.md; simulator/app.py",Run and record pass/fail by scenario,High,2026-05-02
VPS,Production deployment validation and resilience checks,OPS_VALIDATION_PENDING,"CONTEXT.md; main.py",Deferred transition phase: run smoke checks on VPS after laptop websocket shakedown is complete,High,2026-05-17
Runtime,Laptop websocket-first shakedown (LTP fetch output behavior performance),OPS_VALIDATION_PENDING,"CONTEXT.md; main.py; core/broker.py; core/runtime_logging.py",Run on local Windows laptop with websocket feed capture behavior evidence then transition same checks to VPS,High,2026-05-17
Reliability,Dry-run mode for safe rehearsal,PENDING_DESIGN,OPEN_QUESTIONS.md,Decide design then implement in broker adapter,Medium,2026-05-02
Reliability,Module crash auto-alert escalation,CODED_NOT_INTEGRATED,"main.py; bat_telegram/incident_publisher.py",Validate live dual-publish behavior once JAGRAN token.env is configured,Medium,2026-05-15
Reliability,Text-first runtime logging architecture (main plus module logs IST millis time-window files correlation IDs),CODED,"core/runtime_logging.py; main.py; config/settings.json; telegram/design/logging_design.md",Validate live VPS log-window rollover and module-wise sink output under real runtime load,High,2026-05-16
Reliability,Daily incident ledger with repeated-event capture and EOD workbook (Incidents Recoveries Combined sheets),CODED,"bat_telegram/incident_publisher.py; tests/test_incident_publisher.py; telegram/design/logging_design.md",Validate lock-contention retry path and workbook generation timing in live environment,High,2026-05-16
Operations,Service auto-restart on reboot,PENDING_DESIGN,"OPEN_QUESTIONS.md; batman.service",Finalize ops runbook and service config,High,2026-05-02
Operations,Windows VPS smoke automation (startup logging restart incident artifact checks),CODED,"tools/vps-smoke-windows.ps1; .vscode/tasks.json; reference/PRODUCTION_RELIABILITY_BLUEPRINT.md",Run on VPS with all config placeholder env vars set and capture PASS/WARN/FAIL report,High,2026-05-17
Operations,Production reliability blueprint plus tomorrow go/no-go large-case test plan,CODED,reference/PRODUCTION_RELIABILITY_BLUEPRINT.md,Execute large-case test set and record outcomes before unattended VPS run,High,2026-05-03
Hedge Box,Tuesday (0DTE) no-hedge matrix output (White rows remain but hedge strikes must be blank),CODED,simulator/hedge_box_simulator.py,Validate CSV matrix output for Tuesday CE/PE rows in simulator export,High,2026-05-10
Governance,Per-session tracker update protocol,CODED,IMPLEMENTATION_TRACKER.md,Maintain on every design and coding conversation,High,2026-05-02
Governance,Timestamped session capture log,CODED,SESSION_CAPTURE_LOG.md,Append one entry per meaningful session,High,2026-05-02
Governance,Design-code drift escalation rules,CODED,IMPLEMENTATION_TRACKER.md,Apply downgrade and priority escalation when drift appears,High,2026-05-02
